Leak Detector PN,Voltage,Device Rating (mA),Temperature Rating
96270-1,24 VDC,40 mA,-0° F - 176° F (-18° C - 80° C)
96270-2 (ATEX/IECEx),24 VDC,40 mA,-0° F - 176° F (-18° C - 80° C)
