End of Stroke Proximity Sensor PN,Voltage,Device Rating (mA),Temperature Rating
97398 (ATEX/IECEx/NEC/CEC),7.5 - 30 VDC,50 mA,-4° F - 158° F (-20° C - 70° C)
97399 (ATEX/IECEx/NEC/CEC),7.5 - 30 VDC,50 mA,-4° F - 158° F (-20° C - 70° C)
